,user,numlogonDay,numlogonNight,numlogoffDay,numlogoffNight,numPClogonDay,numPClogonNight,numPClogoffDay,numPClogoffNight,onoffNotsameDay,onoffNotsameNight
80,ADG1430,274,356,0,356,1,1,0,1,274,0
81,ADG1737,65,441,61,445,60,16,58,20,4,4
82,ADH0975,101,373,465,9,95,18,102,9,364,364
83,ADM0158,5,367,361,11,5,12,6,11,356,356
84,ADM0765,194,162,0,356,1,1,0,1,194,194
85,ADM0923,349,397,266,209,73,13,75,10,83,188
86,ADM1894,353,374,439,11,71,19,75,11,86,363
87,ADM2762,0,356,356,0,0,1,1,0,356,356
88,ADP1625,52,438,409,81,49,27,51,25,357,357
89,ADP3667,18,517,17,518,17,13,16,14,1,1
90,ADR1517,275,356,356,0,1,1,1,0,81,356
91,ADS0763,190,166,0,356,1,1,0,1,190,190
92,ADS2428,92,1317,269,1140,90,848,85,852,177,177
93,ADS2950,338,173,29,297,32,3,28,7,309,124
94,ADV1640,0,41,41,0,0,1,1,0,41,41
95,ADV2467,356,0,0,356,1,0,0,1,356,356
96,ADW2832,0,356,188,168,0,1,1,1,188,188
97,AEB1458,188,168,0,356,1,1,0,1,188,188
98,AEB3249,281,356,0,356,1,1,0,1,281,0
99,AEB3574,346,378,434,15,64,23,70,15,88,363
100,AED1421,47,406,39,414,42,12,38,15,8,8
101,AEF2019,0,356,0,356,0,1,0,1,0,0
102,AEG1121,0,312,0,312,0,1,0,1,0,0
103,AEH0187,235,340,168,169,1,1,1,1,67,171
104,AEH2020,283,356,0,356,1,1,0,1,283,0
105,AEK3566,85,395,453,27,76,40,87,27,368,368
106,AEM0554,336,729,46,615,47,43,44,44,290,114
107,AEP1930,282,356,356,0,1,1,1,0,74,356
108,AEW1442,0,356,0,356,0,1,0,1,0,0
109,AFB0904,375,363,112,357,90,8,90,7,263,6
110,AFB1626,0,356,356,0,0,1,1,0,356,356
111,AFB3228,277,443,0,442,1,1,0,1,277,1
112,AFF1492,11,371,367,15,11,16,12,15,356,356
113,AFH1757,0,356,183,173,0,1,1,1,183,183
114,AFK3800,0,356,0,356,0,1,0,1,0,0
115,AFP2247,0,356,356,0,0,1,1,0,356,356
116,AFP2709,283,607,358,135,1,1,1,1,75,472
117,AGB0057,292,376,364,20,9,21,9,20,72,356
118,AGB3303,0,356,0,356,0,1,0,1,0,0
119,AGC0445,0,356,0,356,0,1,0,1,0,0
120,AGE1244,0,356,0,356,0,1,0,1,0,0
121,AGF0742,289,467,376,100,15,22,15,22,87,367
122,AGF1810,236,312,0,312,1,1,0,1,236,0
123,AGF2302,0,314,314,0,0,1,1,0,314,314
124,AGG3958,0,356,0,356,0,1,0,1,0,0
125,AGL1301,272,356,195,161,1,1,1,1,77,195
126,AGL3519,283,356,192,164,1,1,1,1,91,192
127,AGM0133,356,0,0,356,1,0,0,1,356,356
128,AGM3372,0,356,0,356,0,1,0,1,0,0
129,AGM3504,0,356,0,356,0,1,0,1,0,0
130,AGS0063,355,0,0,356,1,0,0,1,355,356
131,AGS2462,356,0,0,356,1,0,0,1,356,356
132,AGW1590,369,431,462,67,88,24,98,15,93,364
133,AHB0648,298,367,217,171,21,12,23,10,81,196
134,AHC0232,22,334,0,356,1,1,0,1,22,22
135,AHC1994,325,454,48,450,47,19,46,19,277,4
136,AHC3277,0,356,0,356,0,1,0,1,0,0
137,AHD2457,0,356,356,0,0,1,1,0,356,356
138,AHG1408,0,356,0,356,0,1,0,1,0,0
139,AHG3997,0,356,27,329,0,1,1,1,27,27
140,AHH0495,272,356,0,356,1,1,0,1,272,0
141,AHH1966,0,355,0,356,0,1,0,1,0,1
142,AHK1988,0,356,0,356,0,1,0,1,0,0
143,AHM0959,125,356,478,3,104,10,109,3,353,353
144,AHP0154,0,356,199,157,0,1,1,1,199,199
145,AHS2348,0,356,0,356,0,1,0,1,0,0
146,AIA2005,0,229,0,229,0,1,0,1,0,0
147,AIB0553,284,356,0,356,1,1,0,1,284,0
148,AIB1567,0,356,0,356,0,1,0,1,0,0
149,AIB3416,383,370,134,338,94,15,95,12,249,32
150,AIC1071,0,356,0,356,0,1,0,1,0,0
151,AID2774,75,376,79,372,65,20,69,16,4,4
152,AIF1202,1,355,356,0,1,1,1,0,355,355
153,AIH2535,287,363,11,366,15,8,11,11,276,3
154,AIJ0383,281,356,188,168,1,1,1,1,93,188
155,AIJ3995,61,399,66,394,58,15,63,10,5,5
156,AIL2511,0,356,356,0,0,1,1,0,356,356
157,AIP1614,340,452,423,89,59,16,65,9,83,363
158,AIS1082,0,356,0,356,0,1,0,1,0,0
159,AIT1264,0,356,187,169,0,1,1,1,187,187
160,AIV3936,283,356,187,169,1,1,1,1,96,187
161,AIY3991,277,356,0,356,1,1,0,1,277,0
162,AJB1380,376,373,451,13,83,14,87,12,75,360
163,AJC0722,0,356,0,356,0,1,0,1,0,0
164,AJC3010,0,356,0,356,0,1,0,1,0,0
165,AJG0240,205,271,257,33,20,4,20,4,52,238
166,AJH0279,0,356,0,356,0,1,0,1,0,0
167,AJH2110,337,389,68,385,61,33,63,28,269,4
168,AJH3517,0,356,182,174,0,1,1,1,182,182
169,AJK0611,0,356,356,0,0,1,1,0,356,356
170,AJM0243,201,155,0,356,1,1,0,1,201,201
171,AJM0345,284,358,5,353,1,3,1,3,279,5
172,AJM2385,0,356,0,356,0,1,0,1,0,0
173,AJN1275,285,427,196,231,1,1,1,1,89,196
174,AJO2788,0,356,0,356,0,1,0,1,0,0
175,AJP1199,301,361,376,5,21,6,21,5,75,356
176,AJQ0809,287,356,0,356,1,1,0,1,287,0
177,AJS0616,0,356,356,0,0,1,1,0,356,356
178,AJS3021,363,594,438,146,65,56,71,50,75,448
179,AJS3899,9,347,0,356,1,1,0,1,9,9
180,AJV0176,0,299,173,126,0,1,1,1,173,173
181,AJW1246,0,356,0,356,0,1,0,1,0,0
182,AKB2312,11,510,377,144,11,8,14,6,366,366
183,AKB3530,46,60,60,0,1,1,1,0,14,60
184,AKC1929,0,356,356,0,0,1,1,0,356,356
185,AKC3739,0,356,0,356,0,1,0,1,0,0
186,AKD0272,342,398,70,394,59,28,64,24,272,4
187,AKG2702,295,355,375,1,18,4,20,1,80,354
188,AKH0454,296,574,12,482,12,3,11,3,284,92
189,AKH1534,61,359,60,361,56,5,55,6,1,2
190,AKI3229,0,356,0,356,0,1,0,1,0,0
191,AKK2125,5,431,364,72,5,18,6,18,359,359
192,AKL1305,390,430,307,229,97,19,100,15,83,201
193,AKL1605,280,357,358,1,3,2,3,1,78,356
194,AKP3573,0,246,246,0,0,1,1,0,246,246
195,AKS0298,0,356,356,0,0,1,1,0,356,356
196,AKS3496,43,72,2,64,3,4,2,4,41,8
197,AKS3705,0,356,356,0,0,1,1,0,356,356
198,AKW1679,0,356,0,356,0,1,0,1,0,0
199,ALB1254,0,301,0,302,0,1,0,1,0,1
200,ALB2395,0,356,0,356,0,1,0,1,0,0
201,ALB3649,373,436,81,422,73,37,72,35,292,14
202,ALC1060,98,1328,96,1330,90,866,87,869,2,2
203,ALD3508,0,356,188,168,0,1,1,1,188,188
204,ALH1494,0,356,356,0,0,1,1,0,356,356
205,ALH1872,0,356,356,0,0,1,1,0,356,356
206,ALH2916,0,356,192,164,0,1,1,1,192,192
207,ALL0289,67,355,52,370,50,14,49,15,15,15
208,ALN2046,0,356,0,356,0,1,0,1,0,0
209,ALP2955,188,168,0,356,1,1,0,1,188,188
210,ALS2596,0,356,0,356,0,1,0,1,0,0
211,ALS2669,0,356,356,0,0,1,1,0,356,356
212,ALS3440,276,413,75,333,1,1,1,1,201,80
213,ALT1354,0,356,356,0,0,1,1,0,356,356
214,AMA2808,274,615,0,543,1,1,0,1,274,72
215,AMB3100,378,557,306,282,87,46,93,42,72,275
216,AMB3208,0,356,356,0,0,1,1,0,356,356
217,AMD2728,0,356,0,356,0,1,0,1,0,0
218,AME0732,0,356,0,356,0,1,0,1,0,0
219,AME1361,0,356,0,356,0,1,0,1,0,0
220,AME1490,242,365,300,66,12,6,13,5,58,299
221,AMH1481,0,356,356,0,0,1,1,0,356,356
222,AMH3562,0,356,356,0,0,1,1,0,356,356
223,AMJ2374,281,356,356,0,1,1,1,0,75,356
224,AMJ3174,0,191,42,149,0,1,1,1,42,42
225,AMM0734,0,355,356,0,0,1,1,0,356,355
226,AMM3906,0,356,0,356,0,1,0,1,0,0
227,AMN0911,367,368,274,181,80,13,80,12,93,187
228,AMO0582,0,356,0,356,0,1,0,1,0,0
229,AMR0197,0,356,356,0,0,1,1,0,356,356
230,AMS0630,0,356,0,356,0,1,0,1,0,0
231,AMS0712,384,375,464,11,92,19,100,10,80,364
232,ANB0938,284,358,356,0,1,1,1,0,72,358
233,ANB2766,293,359,371,3,16,4,16,3,78,356
234,ANC1319,283,356,187,169,1,1,1,1,96,187
235,ANC1834,0,356,0,356,0,1,0,1,0,0
236,ANC1950,0,466,5,461,0,1,1,1,5,5
237,ANF3332,287,415,5,415,6,1,5,1,282,0
238,ANH2482,356,0,0,356,1,0,0,1,356,356
239,ANH3059,0,356,356,0,0,1,1,0,356,356
240,ANK0777,0,356,356,0,0,1,1,0,356,356
241,ANL3024,337,425,429,63,64,12,69,7,92,362
242,ANM0564,291,359,23,358,22,4,22,3,268,1
243,ANO2653,366,368,285,169,82,13,88,7,81,199
244,AOC0982,265,356,356,0,1,1,1,0,91,356
245,AOD2178,0,356,356,0,0,1,1,0,356,356
246,AOM1457,478,177,22,357,20,3,20,2,456,180
247,AOP1542,4,352,82,274,1,1,1,1,78,78
248,APA1788,341,471,65,469,60,31,61,29,276,2
249,APB1122,276,356,0,356,1,1,0,1,276,0
250,APB3823,0,494,0,494,0,1,0,1,0,0
251,APC3043,101,1273,92,1282,97,799,88,807,9,9
252,APD0381,0,356,187,169,0,1,1,1,187,187
253,APH2985,0,356,356,0,0,1,1,0,356,356
254,APM0190,274,356,0,356,1,1,0,1,274,0
255,APP1054,52,898,48,902,51,611,47,615,4,4
256,APP1996,0,356,0,356,0,1,0,1,0,0
257,APP2488,421,1,63,359,62,1,59,4,358,358
258,APP3678,333,382,59,382,57,26,55,27,274,0
259,APS1968,6,369,0,375,1,1,0,1,6,6
260,APS3553,1,355,3,353,1,1,1,1,2,2
261,APS3701,2,354,356,0,1,1,1,0,354,354
262,ARB0208,195,282,476,1,100,7,105,1,281,281
263,ARB2515,0,356,356,0,0,1,1,0,356,356
264,ARB3934,0,356,182,174,0,1,1,1,182,182
265,ARC1223,0,356,0,356,0,1,0,1,0,0
266,ARC1725,310,362,23,363,24,7,22,8,287,1
267,ARC2809,283,359,7,359,8,4,7,4,276,0
268,ARC3034,295,358,376,2,21,3,21,2,81,356
269,ARF0575,0,356,0,356,0,1,0,1,0,0
270,ARG0441,277,355,0,356,1,1,0,1,277,1
271,ARG3554,0,356,0,356,0,1,0,1,0,0
272,ARH1610,0,356,356,0,0,1,1,0,356,356
273,ARH2097,307,369,28,372,30,13,26,16,279,3
274,ARH2262,0,356,0,356,0,1,0,1,0,0
275,ARJ0912,0,356,178,178,0,1,1,1,178,178
276,ARK3198,295,488,366,74,7,6,7,6,71,414
277,ARL2672,0,356,356,0,0,1,1,0,356,356
278,ARM0076,0,356,356,0,0,1,1,0,356,356
279,ARM0771,0,356,356,0,0,1,1,0,356,356
280,ARP1144,282,356,356,0,1,1,1,0,74,356
281,ARS3506,0,356,194,162,0,1,1,1,194,194
282,ARV0704,279,355,356,0,1,1,1,0,77,355
283,ARW0818,16,490,14,492,16,10,14,12,2,2
284,ARW1507,0,356,356,0,0,1,1,0,356,356
285,ARZ3464,307,417,20,399,21,4,20,4,287,18
286,ASC0177,365,371,274,176,69,16,73,12,91,195
287,ASD0993,0,356,0,356,0,1,0,1,0,0
288,ASD3348,0,356,0,356,0,1,0,1,0,0
289,ASF1136,0,356,356,0,0,1,1,0,356,356
290,ASG0072,272,356,0,356,1,1,0,1,272,0
291,ASH0142,0,356,0,356,0,1,0,1,0,0
292,ASH1710,0,356,0,356,0,1,0,1,0,0
293,ASK0599,0,356,0,356,0,1,0,1,0,0
294,ASK2349,24,331,0,356,1,1,0,1,24,25
295,ASM3771,0,356,0,356,0,1,0,1,0,0
296,ASM3925,0,356,356,0,0,1,1,0,356,356
297,ASP2895,70,286,2,354,1,1,1,1,68,68
298,ASS0120,18,362,19,361,17,7,18,6,1,1
299,ASS0280,286,356,0,356,1,1,0,1,286,0
300,ASS2760,0,356,356,0,0,1,1,0,356,356
301,ASW1918,326,426,410,67,47,10,50,7,84,359
302,ATB1273,279,356,187,169,1,1,1,1,92,187
303,ATC0218,0,356,0,356,0,1,0,1,0,0
304,ATC1587,0,356,356,0,0,1,1,0,356,356
305,ATD0146,44,361,230,175,44,6,47,4,186,186
306,ATF3708,0,86,86,0,0,1,1,0,86,86
307,ATF3951,0,356,199,157,0,1,1,1,199,199
308,ATH0225,318,475,402,70,38,22,42,18,84,405
309,ATH0720,0,356,0,356,0,1,0,1,0,0
310,ATM1003,0,356,189,167,0,1,1,1,189,189
311,ATM1615,311,495,390,84,26,17,31,12,79,411
312,ATP2680,138,195,0,194,1,1,0,1,138,1
313,ATR1677,52,410,52,410,51,26,51,26,0,0
314,ATR2560,0,356,0,356,0,1,0,1,0,0
315,ATR3231,0,356,0,356,0,1,0,1,0,0
316,ATT0293,13,403,378,38,13,8,16,6,365,365
317,ATT1191,0,487,361,126,0,1,1,1,361,361
318,AUA0826,0,356,0,356,0,1,0,1,0,0
319,AUG2242,0,356,356,0,0,1,1,0,356,356
320,AUI2464,356,0,0,356,1,0,0,1,356,356
321,AUR1359,0,356,0,356,0,1,0,1,0,0
322,AVC2328,0,356,0,356,0,1,0,1,0,0
323,AVH0566,0,427,0,427,0,1,0,1,0,0
324,AVH2360,19,337,0,356,1,1,0,1,19,19
325,AVH3584,0,356,0,356,0,1,0,1,0,0
326,AVP3044,98,1301,95,1304,97,838,94,841,3,3
327,AVS2317,295,361,8,361,9,6,8,6,287,0
328,AVT0526,0,344,344,0,0,1,1,0,344,344
329,AVV2056,0,356,0,356,0,1,0,1,0,0
330,AWB2282,280,356,0,356,1,1,0,1,280,0
331,AWH2466,242,0,0,242,1,0,0,1,242,242
332,AWM2286,287,361,370,3,12,6,14,3,83,358
333,AWV0836,0,198,0,198,0,1,0,1,0,0
334,AWW0254,0,318,318,0,0,1,1,0,318,318
335,AXL0479,0,301,301,0,0,1,1,0,301,301
336,AXW3243,292,481,0,428,1,1,0,1,292,53
337,AYA3962,0,356,0,356,0,1,0,1,0,0
338,AYD2775,303,612,7,507,7,2,7,1,296,105
339,AYL1635,0,356,356,0,0,1,1,0,356,356
340,AYP3586,279,356,0,356,1,1,0,1,279,0
341,AYS0110,1,355,0,356,1,1,0,1,1,1
342,AYS1628,318,363,405,4,46,8,49,4,87,359
343,AZA1012,271,356,1,355,1,1,1,1,270,1
344,AZB1225,0,356,0,356,0,1,0,1,0,0
345,AZG2343,265,323,20,324,21,8,19,9,245,1
346,AZK0622,279,356,0,356,1,1,0,1,279,0
347,BAA2451,0,356,356,0,0,1,1,0,356,356
348,BAB0518,0,356,0,356,0,1,0,1,0,0
349,BAB0541,380,368,470,3,92,13,98,3,90,365
350,BAB1619,376,397,470,36,100,17,104,12,94,361
351,BAB2968,0,356,356,0,0,1,1,0,356,356
352,BAC2914,0,271,150,121,0,1,1,1,150,150
353,BAC3730,0,356,0,356,0,1,0,1,0,0
354,BAG2641,371,447,289,254,90,14,87,15,82,193
355,BAH1259,0,429,0,429,0,1,0,1,0,0
356,BAH3684,0,356,356,0,0,1,1,0,356,356
357,BAL2366,385,379,101,386,84,38,87,30,284,7
358,BAL3618,274,356,356,0,1,1,1,0,82,356
359,BAO2928,213,267,137,134,15,3,16,2,76,133
360,BAR3420,336,346,142,280,72,7,72,8,194,66
361,BAT3066,376,389,459,17,82,33,95,17,83,372
362,BAV0390,0,320,320,0,0,1,1,0,320,320
363,BAW0780,292,476,361,63,1,1,1,1,69,413
364,BAW1019,0,356,0,356,0,1,0,1,0,0
365,BBA1230,321,376,68,373,60,22,63,18,253,3
366,BBB3612,0,356,356,0,0,1,1,0,356,356
367,BBC3733,0,356,0,356,0,1,0,1,0,0
368,BBF2388,0,356,186,170,0,1,1,1,186,186
369,BBH1056,89,1341,82,1348,86,874,79,879,7,7
370,BBH2509,273,356,356,0,1,1,1,0,83,356
371,BBH3587,82,402,84,400,74,45,78,43,2,2
372,BBH3779,0,356,0,356,0,1,0,1,0,0
373,BBM1701,0,356,0,356,0,1,0,1,0,0
374,BBM2604,268,356,0,356,1,1,0,1,268,0
375,BBM3688,0,356,356,0,0,1,1,0,356,356
376,BBP1093,0,356,0,356,0,1,0,1,0,0
377,BBT0062,360,58,3,415,5,10,3,11,357,357
378,BBT1948,0,413,0,413,0,1,0,1,0,0
379,BBV3875,0,356,356,0,0,1,1,0,356,356
380,BBW0594,288,388,10,390,11,2,9,3,278,2
381,BCB0294,0,356,356,0,0,1,1,0,356,356
382,BCB0521,52,389,416,25,50,13,56,8,364,364
383,BCB0909,278,356,187,169,1,1,1,1,91,187
384,BCB2072,274,356,0,356,1,1,0,1,274,0
385,BCB2676,0,356,356,0,0,1,1,0,356,356
386,BCC0456,0,356,0,356,0,1,0,1,0,0
387,BCC2536,90,144,20,125,22,12,20,13,70,19
388,BCG1029,0,356,0,356,0,1,0,1,0,0
389,BCH1138,0,356,356,0,0,1,1,0,356,356
390,BCH1656,0,356,0,356,0,1,0,1,0,0
391,BCH3651,0,356,0,356,0,1,0,1,0,0
392,BCL2082,0,356,202,154,0,1,1,1,202,202
393,BCM3794,0,488,0,488,0,1,0,1,0,0
394,BCO0877,0,356,0,356,0,1,0,1,0,0
395,BCO2338,0,356,67,289,0,1,1,1,67,67
396,BCS1604,313,406,386,49,28,15,30,13,73,357
397,BCS2912,276,356,189,167,1,1,1,1,87,189
398,BCW3480,0,356,0,356,0,1,0,1,0,0
399,BCZ1345,0,305,305,0,0,1,1,0,305,305
400,BDA1906,69,0,0,69,1,0,0,1,69,69
401,BDB2163,294,457,366,55,1,1,1,1,72,402
402,BDH0472,356,0,0,356,1,0,0,1,356,356
403,BDJ3001,298,365,377,4,20,7,22,4,79,361
404,BDJ3326,270,356,0,356,1,1,0,1,270,0
405,BDK0854,0,356,356,0,0,1,1,0,356,356
406,BDL1065,0,356,0,356,0,1,0,1,0,0
407,BDM3662,272,356,0,356,1,1,0,1,272,0
408,BDP0031,374,388,89,384,73,32,76,28,285,4
409,BDP3912,0,356,356,0,0,1,1,0,356,356
410,BDR0510,339,618,70,533,65,37,67,35,269,85
411,BDU0497,0,356,0,356,0,1,0,1,0,0
412,BDV2474,632,0,0,356,1,0,0,1,632,356
413,BDW1459,182,174,0,356,1,1,0,1,182,182
414,BEA0311,0,356,356,0,0,1,1,0,356,356
415,BEB1022,0,356,356,0,0,1,1,0,356,356
416,BEG3521,355,390,445,24,73,32,79,24,90,366
417,BEH0103,416,468,388,135,29,10,30,8,28,333
418,BEH2307,298,359,372,1,15,4,17,1,74,358
419,BEH2967,265,356,356,0,1,1,1,0,91,356
420,BEW1426,1,355,0,356,1,1,0,1,1,1
421,BFD1111,0,356,0,356,0,1,0,1,0,0
422,BFR3250,364,394,81,396,74,38,73,39,283,2
423,BGA0892,0,355,0,356,0,1,0,1,0,1
424,BGA2301,281,356,356,0,1,1,1,0,75,356
425,BGB3045,112,1336,106,1342,109,844,103,847,6,6
426,BGH2610,0,238,0,238,0,1,0,1,0,0
427,BGH2861,0,356,193,163,0,1,1,1,193,193
428,BGK0603,0,356,196,160,0,1,1,1,196,196
429,BGM1226,9,377,6,380,9,22,6,25,3,3
430,BGM2545,279,356,0,356,1,1,0,1,279,0
431,BGN3820,281,356,0,356,1,1,0,1,281,0
432,BGR1991,0,356,0,356,0,1,0,1,0,0
433,BGS0751,0,356,356,0,0,1,1,0,356,356
434,BGW1739,12,356,11,357,12,1,11,2,1,1
435,BHB2598,0,142,0,142,0,1,0,1,0,0
436,BHC0492,0,356,0,356,0,1,0,1,0,0
437,BHC2049,0,356,0,356,0,1,0,1,0,0
438,BHC2344,0,356,0,356,0,1,0,1,0,0
439,BHD0598,279,356,0,356,1,1,0,1,279,0
440,BHD2088,288,438,19,419,21,16,19,17,269,19
441,BHE1709,383,382,97,384,85,27,84,29,286,2
442,BHG0258,0,273,0,273,0,1,0,1,0,0
443,BHG3238,0,356,0,356,0,1,0,1,0,0
444,BHK2196,0,356,356,0,0,1,1,0,356,356
445,BHM0430,0,356,180,176,0,1,1,1,180,180
446,BHN2290,0,356,356,0,0,1,1,0,356,356
447,BHS1917,356,0,0,356,1,0,0,1,356,356
448,BHW2476,356,0,0,356,1,0,0,1,356,356
449,BIG3946,0,350,185,165,0,1,1,1,185,185
450,BIT2790,279,356,0,356,1,1,0,1,279,0
451,BJA1137,0,356,356,0,0,1,1,0,356,356
452,BJC0366,281,356,0,356,1,1,0,1,281,0
453,BJC3423,274,356,0,356,1,1,0,1,274,0
454,BJE0351,213,287,282,3,1,1,1,1,69,284
455,BJF0511,0,354,0,354,0,1,0,1,0,0
456,BJG0662,0,356,187,169,0,1,1,1,187,187
457,BJH3294,0,356,0,356,0,1,0,1,0,0
458,BJH3402,184,172,0,356,1,1,0,1,184,184
459,BJM2491,0,356,0,356,0,1,0,1,0,0
460,BJM3236,0,220,0,220,0,1,0,1,0,0
461,BJP0186,0,356,189,167,0,1,1,1,189,189
462,BJR0774,0,356,356,0,0,1,1,0,356,356
463,BJR0940,0,356,356,0,0,1,1,0,356,356
464,BJS0053,0,356,356,0,0,1,1,0,356,356
465,BJS0744,0,221,221,0,0,1,1,0,221,221
466,BJV2631,293,361,200,179,19,6,22,3,93,182
467,BJW2134,0,356,356,0,0,1,1,0,356,356
468,BJW3558,0,356,356,0,0,1,1,0,356,356
469,BKA0175,0,356,185,171,0,1,1,1,185,185
470,BKB0853,283,356,356,0,1,1,1,0,73,356
471,BKC2698,290,358,369,1,13,3,14,1,79,357
472,BKC3473,0,356,188,168,0,1,1,1,188,188
473,BKF0427,278,356,356,0,1,1,1,0,78,356
474,BKF1545,335,612,83,482,45,32,48,28,252,130
475,BKF2204,293,364,16,363,16,9,16,8,277,1
476,BKM1155,325,300,0,356,1,1,0,1,325,56
477,BKM2643,0,355,187,169,0,1,1,1,187,186
478,BKM3410,183,173,0,356,1,1,0,1,183,183
479,BKM3611,335,373,416,14,54,17,57,13,81,359
480,BKR3146,0,356,197,159,0,1,1,1,197,197
481,BKR3302,0,226,0,226,0,1,0,1,0,0
482,BKS1860,0,356,356,0,0,1,1,0,356,356
483,BKS2069,0,356,0,356,0,1,0,1,0,0
484,BKW1032,0,356,0,356,0,1,0,1,0,0
485,BLB1876,351,461,433,68,67,30,70,28,82,393
486,BLD2227,289,366,369,8,12,3,14,1,80,358
487,BLH3602,0,355,356,0,0,1,1,0,356,355
488,BLL3585,289,364,8,364,9,9,8,9,281,0
489,BLL3910,0,396,360,36,0,1,1,1,360,360
490,BLN0230,22,513,19,516,21,18,18,21,3,3
491,BLS1973,339,315,15,361,17,5,15,6,324,46
492,BLS3327,0,356,0,356,0,1,0,1,0,0
